year,nc_year,start_year_status
2023,year_group_1,projection
2024,year_group_1,projection
2025,year_group_1,projection
2026,year_group_1,projection
2027,year_group_1,projection
2028,year_group_1,projection
2029,year_group_1,projection
2030,year_group_1,projection
2031,year_group_1,projection
2022,year_group_1,actual
2022,year_group_2,actual
2022,year_group_3,actual
2022,year_group_4,actual
2022,year_group_5,actual
2022,year_group_6,actual
2022,year_group_7,actual
2022,year_group_8,actual
2022,year_group_9,actual
2022,year_group_10,actual
